Library Group,Subscription Tier,Cost ($),Flow Metric
Medium Library,Basic,3.74,1606
Large Library,Basic,7.84,2064
Medium Library,Basic,9.03,1861
Medium Library,Basic,10.16,1616
Medium Library,Basic,7.99,1836
Medium Library,Basic,4.61,1810
Large Library,Basic,9.03,1978
Large Library,Basic,7.91,1928
Medium Library,Basic,7.07,1838
Medium Library,Basic,4.31,1835
Medium Library,Basic,8.99,1836
Small Library,Basic,9.03,599
Large Library,Basic,8.83,2091
Medium Library,Basic,12.0,1580
Medium Library,Basic,7.99,1837
Large Library,Basic,9.03,1970
Medium Library,Basic,9.03,1407
Medium Library,Basic,10.16,1841
Medium Library,Basic,9.03,1854
Large Library,Basic,9.03,2088
Medium Library,Basic,9.03,1428
Medium Library,Basic,7.99,1613
Medium Library,Basic,7.99,1835
Medium Library,Basic,8.08,1863
Large Library,Basic,7.64,2082
Large Library,Basic,9.03,1961
Medium Library,Basic,2.64,2125
Small Library,Basic,8.36,1438
Large Library,Basic,9.03,1971
Medium Library,Basic,10.56,2063
Medium Library,Basic,9.03,1638
Medium Library,Basic,8.73,1856
Large Library,Basic,9.03,1971
Small Library,Basic,12.88,1336
Large Library,Basic,9.03,1972
Medium Library,Basic,8.29,2387
Medium Library,Basic,6.62,1835
Small Library,Basic,9.03,1464
Medium Library,Basic,9.03,1998
Medium Library,Basic,9.03,1597
Large Library,Basic,8.8,2081
Medium Library,Basic,9.94,1573
Medium Library,Basic,8.29,1642
Medium Library,Basic,6.11,1831
Large Library,Basic,7.35,2208
Medium Library,Basic,7.13,1597
Medium Library,Basic,9.03,1628
Medium Library,Basic,9.03,1471
Medium Library,Basic,8.13,2087
Small Library,Basic,9.03,373
Large Library,Basic,9.51,2194
Large Library,Basic,9.03,1980
Medium Library,Basic,6.26,2050
Medium Library,Basic,8.07,1861
Medium Library,Basic,9.03,1693
Medium Library,Basic,10.9,1388
Medium Library,Basic,12.88,1852
Medium Library,Basic,9.74,1971
Medium Library,Basic,8.34,1971
Medium Library,Basic,1.97,1709
Medium Library,Basic,5.64,2075
Large Library,Basic,7.91,2092
Medium Library,Basic,8.99,1992
Medium Library,Basic,8.99,1835
Medium Library,Basic,7.99,1643
Medium Library,Standard,6.3,1606
Large Library,Standard,12.12,2064
Medium Library,Standard,14.67,1861
Medium Library,Standard,15.24,1616
Medium Library,Standard,10.99,1836
Medium Library,Standard,7.11,1810
Large Library,Standard,11.29,1978
Large Library,Standard,11.87,1928
Medium Library,Standard,9.91,1838
Medium Library,Standard,6.86,1835
Medium Library,Standard,12.99,1836
Small Library,Standard,11.29,599
Large Library,Standard,11.49,2091
Medium Library,Standard,15.04,1580
Medium Library,Standard,10.99,1837
Large Library,Standard,11.29,1970
Medium Library,Standard,13.54,1407
Medium Library,Standard,15.24,1841
Medium Library,Standard,14.67,1854
Large Library,Standard,14.67,2088
Medium Library,Standard,12.42,1428
Medium Library,Standard,10.99,1613
Medium Library,Standard,10.99,1835
Medium Library,Standard,10.0,1863
Large Library,Standard,10.71,2082
Large Library,Standard,14.67,1961
Medium Library,Standard,6.61,2125
Small Library,Standard,10.66,1438
Large Library,Standard,14.67,1971
Medium Library,Standard,15.05,2063
Medium Library,Standard,14.67,1638
Medium Library,Standard,13.13,1856
Large Library,Standard,11.29,1971
Small Library,Standard,20.46,1336
Large Library,Standard,11.29,1972
Medium Library,Standard,10.65,2387
Medium Library,Standard,10.43,1835
Small Library,Standard,11.29,1464
Medium Library,Standard,13.54,1998
Medium Library,Standard,13.54,1597
Large Library,Standard,12.53,2081
Medium Library,Standard,12.17,1573
Medium Library,Standard,11.49,1642
Medium Library,Standard,8.56,1831
Large Library,Standard,9.14,2208
Medium Library,Standard,10.58,1597
Medium Library,Standard,13.54,1628
Medium Library,Standard,11.29,1471
Medium Library,Standard,10.84,2087
Small Library,Standard,14.67,373
Large Library,Standard,12.81,2194
Large Library,Standard,11.29,1980
Medium Library,Standard,10.05,2050
Medium Library,Standard,11.47,1861
Medium Library,Standard,14.67,1693
Medium Library,Standard,14.2,1388
Medium Library,Standard,20.46,1852
Medium Library,Standard,11.9,1971
Medium Library,Standard,10.43,1971
Medium Library,Standard,3.0,1709
Medium Library,Standard,8.46,2075
Large Library,Standard,13.2,2092
Medium Library,Standard,13.99,1992
Medium Library,Standard,12.99,1835
Medium Library,Standard,10.99,1643
Medium Library,Premium,9.26,1606
Large Library,Premium,16.39,2064
Medium Library,Premium,20.32,1861
Medium Library,Premium,20.32,1616
Medium Library,Premium,13.99,1836
Medium Library,Premium,9.96,1810
Large Library,Premium,13.54,1978
Large Library,Premium,15.03,1928
Medium Library,Premium,12.74,1838
Medium Library,Premium,9.93,1835
Medium Library,Premium,15.99,1836
Small Library,Premium,13.54,599
Large Library,Premium,14.15,2091
Medium Library,Premium,19.6,1580
Medium Library,Premium,13.99,1837
Large Library,Premium,13.54,1970
Medium Library,Premium,18.06,1407
Medium Library,Premium,20.32,1841
Medium Library,Premium,20.32,1854
Large Library,Premium,20.32,2088
Medium Library,Premium,15.8,1428
Medium Library,Premium,13.99,1613
Medium Library,Premium,13.99,1835
Medium Library,Premium,11.93,1863
Large Library,Premium,13.78,2082
Large Library,Premium,20.32,1961
Medium Library,Premium,8.6,2125
Small Library,Premium,12.96,1438
Large Library,Premium,20.32,1971
Medium Library,Premium,19.54,2063
Medium Library,Premium,20.32,1638
Medium Library,Premium,17.45,1856
Large Library,Premium,13.54,1971
Small Library,Premium,26.96,1336
Large Library,Premium,13.54,1972
Medium Library,Premium,13.02,2387
Medium Library,Premium,14.24,1835
Small Library,Premium,13.54,1464
Medium Library,Premium,18.06,1998
Medium Library,Premium,18.06,1597
Large Library,Premium,16.94,2081
Medium Library,Premium,17.75,1573
Medium Library,Premium,14.69,1642
Medium Library,Premium,11.01,1831
Large Library,Premium,10.93,2208
Medium Library,Premium,14.76,1597
Medium Library,Premium,18.06,1628
Medium Library,Premium,13.54,1471
Medium Library,Premium,13.56,2087
Small Library,Premium,20.32,373
Large Library,Premium,16.11,2194
Large Library,Premium,13.54,1980
Medium Library,Premium,12.58,2050
Medium Library,Premium,14.45,1861
Medium Library,Premium,20.32,1693
Medium Library,Premium,19.7,1388
Medium Library,Premium,26.96,1852
Medium Library,Premium,14.07,1971
Medium Library,Premium,12.52,1971
Medium Library,Premium,4.02,1709
Medium Library,Premium,11.29,2075
Large Library,Premium,18.48,2092
Medium Library,Premium,17.99,1992
Medium Library,Premium,15.99,1835
Medium Library,Premium,13.99,1643
